mode,ensemble,projected_state,expected_pair_count,expected_low_tail_contribution,fraction_of_low_tail,max_tail_probability,projected_upper_contribution,projected_slack_factor
support_active,original,6:24,572.3200000000004,0.0,0.0,0.0,0.0,0.0
support_active,original,4:30,3150.55999999999,0.0,0.0,0.0,0.0,0.0
support_active,original,3:29,316.9600000000001,0.0,0.0,0.0,0.0,0.0
support_active,original,4:25,143.92000000000095,0.0,0.0,0.0,0.0,0.0
support_active,original,4:29,1942.0800000000004,0.0,0.0,0.0,0.0,0.0
support_active,original,4:24,161.52000000000015,0.0,0.0,0.0,0.0,0.0
support_active,original,3:24,89.51999999999974,0.0,0.0,0.0,0.0,0.0
support_active,original,7:27,2580.4799999999955,0.0,0.0,0.0,0.0,0.0
support_active,original,6:23,177.76000000000036,0.0,0.0,0.0,0.0,0.0
support_active,original,5:27,1364.7999999999993,0.0,0.0,0.0,0.0,0.0
support_active,original,8:23,132.48000000000027,0.0,0.0,0.0,0.0,0.0
support_active,original,8:22,270.87999999999994,0.0,0.0,0.0,0.0,0.0
support_active,original,3:30,560.9600000000002,0.0,0.0,0.0,0.0,0.0
support_active,original,4:22,100.07999999999986,0.0,0.0,0.0,0.0,0.0
support_active,original,2:28,61.59999999999988,0.0,0.0,0.0,0.0,0.0
support_active,original,3:23,26.79999999999996,0.0,0.0,0.0,0.0,0.0
support_active,original,7:26,1157.7599999999998,0.0,0.0,0.0,0.0,0.0
support_active,original,4:23,67.35999999999987,0.0,0.0,0.0,0.0,0.0
support_active,original,4:20,51.679999999999914,0.0,0.0,0.0,0.0,0.0
support_active,original,4:21,40.23999999999997,0.0,0.0,0.0,0.0,0.0
support_active,original,3:32,831.440000000001,0.0,0.0,0.0,0.0,0.0
support_active,original,2:26,48.239999999999924,0.0,0.0,0.0,0.0,0.0
support_active,original,8:18,44.47999999999992,0.0,0.0,0.0,0.0,0.0
support_active,original,4:19,33.67999999999997,0.0,0.0,0.0,0.0,0.0
support_active,original,3:31,778.0000000000017,0.0,0.0,0.0,0.0,0.0
support_active,original,6:22,329.92,0.0,0.0,0.0,0.0,0.0
support_active,original,8:19,29.919999999999927,0.0,0.0,0.0,0.0,0.0
support_active,original,2:22,24.079999999999973,0.0,0.0,0.0,0.0,0.0
support_active,original,2:25,27.19999999999996,0.0,0.0,0.0,0.0,0.0
support_active,original,8:20,80.95999999999982,0.0,0.0,0.0,0.0,0.0
support_active,original,2:27,30.079999999999927,0.0,0.0,0.0,0.0,0.0
support_active,original,2:23,22.239999999999988,0.0,0.0,0.0,0.0,0.0
support_active,original,2:20,17.43999999999999,0.0,0.0,0.0,0.0,0.0
support_active,original,8:17,20.319999999999972,0.0,0.0,0.0,0.0,0.0
support_active,original,2:21,16.32,0.0,0.0,0.0,0.0,0.0
support_active,original,2:24,28.47999999999994,0.0,0.0,0.0,0.0,0.0
support_active,original,8:21,42.07999999999992,0.0,0.0,0.0,0.0,0.0
support_active,original,5:26,500.7999999999999,0.0,0.0,0.0,0.0,0.0
support_active,original,4:18,30.239999999999956,0.0,0.0,0.0,0.0,0.0
support_active,original,2:19,12.88,0.0,0.0,0.0,0.0,0.0
support_active,original,2:29,31.9199999999999,0.0,0.0,0.0,0.0,0.0
support_active,original,3:22,27.999999999999932,0.0,0.0,0.0,0.0,0.0
support_active,original,4:17,20.39999999999999,0.0,0.0,0.0,0.0,0.0
support_active,original,7:25,414.0800000000003,0.0,0.0,0.0,0.0,0.0
support_active,original,2:30,44.71999999999986,0.0,0.0,0.0,0.0,0.0
support_active,original,2:18,7.68,0.0,0.0,0.0,0.0,0.0
support_active,original,2:17,6.08,0.0,0.0,0.0,0.0,0.0
support_active,original,7:24,98.5599999999998,0.0,0.0,0.0,0.0,0.0
support_active,original,5:25,163.5200000000004,0.0,0.0,0.0,0.0,0.0
support_active,original,6:21,39.679999999999936,0.0,0.0,0.0,0.0,0.0
support_active,original,1:24,4.72,0.0,0.0,0.0,0.0,0.0
