index,columns
594,0:1:2:3:5:17:27:45:55
595,0:1:2:3:5:17:28:45:56
596,0:1:2:3:5:17:29:45:57
597,0:1:2:3:5:17:30:45:58
598,0:1:2:3:5:17:31:45:59
599,0:1:2:3:5:17:32:45:60
600,0:1:2:3:5:17:33:45:61
601,0:1:2:3:5:17:34:45:62
602,0:1:2:3:5:17:35:45:63
603,0:1:2:3:5:18:19:46:47
604,0:1:2:3:5:18:20:46:48
605,0:1:2:3:5:18:21:46:49
606,0:1:2:3:5:18:22:46:50
607,0:1:2:3:5:18:23:46:51
608,0:1:2:3:5:18:24:46:52
609,0:1:2:3:5:18:25:46:53
610,0:1:2:3:5:18:26:46:54
611,0:1:2:3:5:18:27:46:55
612,0:1:2:3:5:18:28:46:56
613,0:1:2:3:5:18:29:46:57
614,0:1:2:3:5:18:30:46:58
615,0:1:2:3:5:18:31:46:59
616,0:1:2:3:5:18:32:46:60
617,0:1:2:3:5:18:33:46:61
618,0:1:2:3:5:18:34:46:62
619,0:1:2:3:5:18:35:46:63
620,0:1:2:3:5:19:20:47:48
621,0:1:2:3:5:19:21:47:49
622,0:1:2:3:5:19:22:47:50
623,0:1:2:3:5:19:23:47:51
624,0:1:2:3:5:19:24:47:52
625,0:1:2:3:5:19:25:47:53
626,0:1:2:3:5:19:26:47:54
627,0:1:2:3:5:19:27:47:55
628,0:1:2:3:5:19:28:47:56
629,0:1:2:3:5:19:29:47:57
630,0:1:2:3:5:19:30:47:58
631,0:1:2:3:5:19:31:47:59
632,0:1:2:3:5:19:32:47:60
633,0:1:2:3:5:19:33:47:61
634,0:1:2:3:5:19:34:47:62
635,0:1:2:3:5:19:35:47:63
636,0:1:2:3:5:20:21:48:49
637,0:1:2:3:5:20:22:48:50
638,0:1:2:3:5:20:23:48:51
639,0:1:2:3:5:20:24:48:52
640,0:1:2:3:5:20:25:48:53
641,0:1:2:3:5:20:26:48:54
642,0:1:2:3:5:20:27:48:55
643,0:1:2:3:5:20:28:48:56
644,0:1:2:3:5:20:29:48:57
645,0:1:2:3:5:20:30:48:58
646,0:1:2:3:5:20:31:48:59
647,0:1:2:3:5:20:32:48:60
648,0:1:2:3:5:20:33:48:61
649,0:1:2:3:5:20:34:48:62
650,0:1:2:3:5:20:35:48:63
651,0:1:2:3:5:21:22:49:50
652,0:1:2:3:5:21:23:49:51
653,0:1:2:3:5:21:24:49:52
654,0:1:2:3:5:21:25:49:53
655,0:1:2:3:5:21:26:49:54
656,0:1:2:3:5:21:27:49:55
657,0:1:2:3:5:21:28:49:56
658,0:1:2:3:5:21:29:49:57
659,0:1:2:3:5:21:30:49:58
660,0:1:2:3:5:21:31:49:59
661,0:1:2:3:5:21:32:49:60
662,0:1:2:3:5:21:33:49:61
663,0:1:2:3:5:21:34:49:62
664,0:1:2:3:5:21:35:49:63
665,0:1:2:3:5:22:23:50:51
666,0:1:2:3:5:22:24:50:52
667,0:1:2:3:5:22:25:50:53
668,0:1:2:3:5:22:26:50:54
669,0:1:2:3:5:22:27:50:55
670,0:1:2:3:5:22:28:50:56
671,0:1:2:3:5:22:29:50:57
672,0:1:2:3:5:22:30:50:58
673,0:1:2:3:5:22:31:50:59
674,0:1:2:3:5:22:32:50:60
675,0:1:2:3:5:22:33:50:61
676,0:1:2:3:5:22:34:50:62
677,0:1:2:3:5:22:35:50:63
678,0:1:2:3:5:23:24:51:52
679,0:1:2:3:5:23:25:51:53
680,0:1:2:3:5:23:26:51:54
681,0:1:2:3:5:23:27:51:55
682,0:1:2:3:5:23:28:51:56
683,0:1:2:3:5:23:29:51:57
684,0:1:2:3:5:23:30:51:58
685,0:1:2:3:5:23:31:51:59
686,0:1:2:3:5:23:32:51:60
687,0:1:2:3:5:23:33:51:61
688,0:1:2:3:5:23:34:51:62
689,0:1:2:3:5:23:35:51:63
690,0:1:2:3:5:24:25:52:53
691,0:1:2:3:5:24:26:52:54
692,0:1:2:3:5:24:27:52:55
693,0:1:2:3:5:24:28:52:56
694,0:1:2:3:5:24:29:52:57
695,0:1:2:3:5:24:30:52:58
696,0:1:2:3:5:24:31:52:59
697,0:1:2:3:5:24:32:52:60
