"subset_index","columns","support_mask","support_columns","rho","components","tau","root_count","support_rank","support_components","delta","generic_kernel_dim","complement_rank","generic_endpoint_logq","component_endpoint_logq","endpoint_bound_logq","endpoint_root_weight_logq","line_assignments","kernel_profile","contained_root_line_count","contained_root_line_logq","exact_root_line_count","exact_root_line_logq","asymptotic_root_weight_logq","endpoint_excess_logq","projective_line_factor_logq","nonzero_root_normalization_logq","exceptional_kappa3_count","residual_endpoint_excess_logq"
"5","0:3:7:8:12","30","3:7:8:12","3","1","2","4","3","2","2","0","1","-Infinity","2","2","-2","20736","0:18876;1:1848;2:12","12","1.0362865626271018","12","1.0362865626271018","-2.963713437372898","-0.96371343737289816","0.14514625050840735","0.15898972884349005","NA","-1.2678494167247956"
"5","0:3:7:8:12","31","0:3:7:8:12","3","1","2","5","3","1","3","1","0","-Infinity","3","3","-2","248832","1:245388;2:3432;3:12","5028","3.554274311473145","4308","3.4898225678181776","-1.5101774321818224","0.48982256781817757","0.18143281313550919","0.19873716105436257","NA","0.10965259362830582"
"6","3:5:8:13:15","7","3:5:8","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"6","3:5:8:13:15","11","3:5:13","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"6","3:5:8:13:15","13","3:8:13","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"6","3:5:8:13:15","14","5:8:13","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"6","3:5:8:13:15","19","3:5:15","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"6","3:5:8:13:15","21","3:8:15","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"6","3:5:8:13:15","22","5:8:15","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
"6","3:5:8:13:15","25","3:13:15","4","1","2","3","3","3","2","1","2","-Infinity","3","3","0","1728","1:1716;2:12","12","1.0362865626271018","12","1.0362865626271018","-1.9637134373728982","-1.9637134373728982","0.10885968788130551","0.11924229663261754","NA","-2.1918154218868211"
