depth,k,output_weight_bound,zero_count,log2_union_tail
11,2048,482,1566,-198841.35362130
11,2048,483,1565,-198711.65663218
11,2048,484,1564,-198581.96354848
11,2048,485,1563,-198452.27436462
11,2048,486,1562,-198322.58907506
11,2048,487,1561,-198192.90767428
11,2048,488,1560,-198063.23015680
11,2048,489,1559,-197933.55651714
11,2048,490,1558,-197803.88674986
11,2048,491,1557,-197674.22084956
11,2048,492,1556,-197544.55881084
11,2048,493,1555,-197414.90062833
11,2048,494,1554,-197285.24629669
11,2048,495,1553,-197155.59581062
11,2048,496,1552,-197025.94916482
11,2048,497,1551,-196896.30635402
11,2048,498,1550,-196766.66737298
11,2048,499,1549,-196637.03221648
11,2048,500,1548,-196507.40087934
11,2048,501,1547,-196377.77335637
11,2048,502,1546,-196248.14964245
11,2048,503,1545,-196118.52973243
11,2048,504,1544,-195988.91362123
11,2048,505,1543,-195859.30130377
11,2048,506,1542,-195729.69277500
11,2048,507,1541,-195600.08802989
11,2048,508,1540,-195470.48706343
11,2048,509,1539,-195340.88987064
11,2048,510,1538,-195211.29644656
11,2048,511,1537,-195081.70678625
11,2048,512,1536,-194952.12088480
11,2048,513,1535,-194822.53873732
11,2048,514,1534,-194692.96033893
11,2048,515,1533,-194563.38568478
11,2048,516,1532,-194433.81477006
11,2048,517,1531,-194304.24758994
11,2048,518,1530,-194174.68413966
11,2048,519,1529,-194045.12441446
11,2048,520,1528,-193915.56840958
11,2048,521,1527,-193786.01612031
11,2048,522,1526,-193656.46754196
11,2048,523,1525,-193526.92266985
11,2048,524,1524,-193397.38149933
11,2048,525,1523,-193267.84402575
11,2048,526,1522,-193138.31024451
11,2048,527,1521,-193008.78015102
11,2048,528,1520,-192879.25374070
11,2048,529,1519,-192749.73100901
11,2048,530,1518,-192620.21195140
11,2048,531,1517,-192490.69656338
11,2048,532,1516,-192361.18484044
11,2048,533,1515,-192231.67677813
11,2048,534,1514,-192102.17237198
11,2048,535,1513,-191972.67161757
11,2048,536,1512,-191843.17451049
11,2048,537,1511,-191713.68104634
11,2048,538,1510,-191584.19122076
11,2048,539,1509,-191454.70502939
11,2048,540,1508,-191325.22246790
11,2048,541,1507,-191195.74353197
11,2048,542,1506,-191066.26821731
11,2048,543,1505,-190936.79651964
11,2048,544,1504,-190807.32843471
11,2048,545,1503,-190677.86395828
11,2048,546,1502,-190548.40308612
11,2048,547,1501,-190418.94581405
11,2048,548,1500,-190289.49213787
11,2048,549,1499,-190160.04205342
11,2048,550,1498,-190030.59555656
11,2048,551,1497,-189901.15264316
11,2048,552,1496,-189771.71330912
11,2048,553,1495,-189642.27755033
11,2048,554,1494,-189512.84536272
11,2048,555,1493,-189383.41674225
11,2048,556,1492,-189253.99168487
11,2048,557,1491,-189124.57018657
11,2048,558,1490,-188995.15224334
11,2048,559,1489,-188865.73785120
11,2048,560,1488,-188736.32700618
11,2048,561,1487,-188606.91970433
11,2048,562,1486,-188477.51594171
11,2048,563,1485,-188348.11571443
11,2048,564,1484,-188218.71901856
11,2048,565,1483,-188089.32585024
11,2048,566,1482,-187959.93620560
11,2048,567,1481,-187830.55008080
11,2048,568,1480,-187701.16747199
11,2048,569,1479,-187571.78837537
11,2048,570,1478,-187442.41278714
11,2048,571,1477,-187313.04070352
11,2048,572,1476,-187183.67212075
11,2048,573,1475,-187054.30703507
11,2048,574,1474,-186924.94544276
11,2048,575,1473,-186795.58734010
11,2048,576,1472,-186666.23272338
11,2048,577,1471,-186536.88158894
11,2048,578,1470,-186407.53393309
11,2048,579,1469,-186278.18975219
11,2048,580,1468,-186148.84904260
11,2048,581,1467,-186019.51180070
11,2048,582,1466,-185890.17802288
11,2048,583,1465,-185760.84770557
11,2048,584,1464,-185631.52084518
11,2048,585,1463,-185502.19743815
11,2048,586,1462,-185372.87748095
11,2048,587,1461,-185243.56097005
11,2048,588,1460,-185114.24790193
11,2048,589,1459,-184984.93827310
11,2048,590,1458,-184855.63208008
11,2048,591,1457,-184726.32931940
11,2048,592,1456,-184597.02998760
11,2048,593,1455,-184467.73408125
11,2048,594,1454,-184338.44159694
11,2048,595,1453,-184209.15253124
11,2048,596,1452,-184079.86688077
11,2048,597,1451,-183950.58464216
11,2048,598,1450,-183821.30581203
11,2048,599,1449,-183692.03038704
11,2048,600,1448,-183562.75836385
11,2048,601,1447,-183433.48973914
11,2048,602,1446,-183304.22450961
11,2048,603,1445,-183174.96267197
11,2048,604,1444,-183045.70422293
11,2048,605,1443,-182916.44915923
11,2048,606,1442,-182787.19747763
11,2048,607,1441,-182657.94917489
11,2048,608,1440,-182528.70424778
11,2048,609,1439,-182399.46269310
11,2048,610,1438,-182270.22450766
11,2048,611,1437,-182140.98968827
11,2048,612,1436,-182011.75823176
11,2048,613,1435,-181882.53013499
11,2048,614,1434,-181753.30539482
11,2048,615,1433,-181624.08400811
11,2048,616,1432,-181494.86597176
11,2048,617,1431,-181365.65128266
11,2048,618,1430,-181236.43993773
11,2048,619,1429,-181107.23193390
11,2048,620,1428,-180978.02726810
11,2048,621,1427,-180848.82593730
11,2048,622,1426,-180719.62793845
11,2048,623,1425,-180590.43326853
11,2048,624,1424,-180461.24192455
11,2048,625,1423,-180332.05390350
11,2048,626,1422,-180202.86920240
11,2048,627,1421,-180073.68781828
11,2048,628,1420,-179944.50974819
11,2048,629,1419,-179815.33498918
11,2048,630,1418,-179686.16353833
11,2048,631,1417,-179556.99539270
11,2048,632,1416,-179427.83054941
11,2048,633,1415,-179298.66900555
11,2048,634,1414,-179169.51075824
11,2048,635,1413,-179040.35580462
11,2048,636,1412,-178911.20414182
11,2048,637,1411,-178782.05576701
11,2048,638,1410,-178652.91067735
11,2048,639,1409,-178523.76887003
11,2048,640,1408,-178394.63034222
11,2048,641,1407,-178265.49509115
11,2048,642,1406,-178136.36311403
11,2048,643,1405,-178007.23440808
11,2048,644,1404,-177878.10897054
11,2048,645,1403,-177748.98679867
11,2048,646,1402,-177619.86788973
11,2048,647,1401,-177490.75224100
11,2048,648,1400,-177361.63984976
11,2048,649,1399,-177232.53071332
11,2048,650,1398,-177103.42482898
11,2048,651,1397,-176974.32219406
11,2048,652,1396,-176845.22280591
11,2048,653,1395,-176716.12666187
11,2048,654,1394,-176587.03375929
11,2048,655,1393,-176457.94409554
11,2048,656,1392,-176328.85766800
11,2048,657,1391,-176199.77447406
11,2048,658,1390,-176070.69451113
11,2048,659,1389,-175941.61777662
11,2048,660,1388,-175812.54426795
11,2048,661,1387,-175683.47398256
11,2048,662,1386,-175554.40691789
11,2048,663,1385,-175425.34307141
11,2048,664,1384,-175296.28244058
11,2048,665,1383,-175167.22502289
11,2048,666,1382,-175038.17081581
11,2048,667,1381,-174909.11981686
11,2048,668,1380,-174780.07202355
11,2048,669,1379,-174651.02743340
11,2048,670,1378,-174521.98604394
11,2048,671,1377,-174392.94785273
11,2048,672,1376,-174263.91285731
11,2048,673,1375,-174134.88105525
11,2048,674,1374,-174005.85244412
11,2048,675,1373,-173876.82702153
11,2048,676,1372,-173747.80478505
11,2048,677,1371,-173618.78573231
11,2048,678,1370,-173489.76986092
11,2048,679,1369,-173360.75716850
11,2048,680,1368,-173231.74765271
11,2048,681,1367,-173102.74131118
11,2048,682,1366,-172973.73814158
11,2048,683,1365,-172844.73814158
11,2048,684,1364,-172715.74130886
11,2048,685,1363,-172586.74764111
11,2048,686,1362,-172457.75713603
11,2048,687,1361,-172328.76979133
11,2048,688,1360,-172199.78560473
11,2048,689,1359,-172070.80457397
11,2048,690,1358,-171941.82669678
11,2048,691,1357,-171812.85197092
11,2048,692,1356,-171683.88039414
11,2048,693,1355,-171554.91196422
11,2048,694,1354,-171425.94667894
11,2048,695,1353,-171296.98453608
11,2048,696,1352,-171168.02553345
11,2048,697,1351,-171039.06966886
11,2048,698,1350,-170910.11694013
11,2048,699,1349,-170781.16734508
11,2048,700,1348,-170652.22088156
11,2048,701,1347,-170523.27754741
11,2048,702,1346,-170394.33734050
11,2048,703,1345,-170265.40025868
11,2048,704,1344,-170136.46629984
11,2048,705,1343,-170007.53546187
11,2048,706,1342,-169878.60774265
11,2048,707,1341,-169749.68314010
11,2048,708,1340,-169620.76165213
11,2048,709,1339,-169491.84327666
11,2048,710,1338,-169362.92801163
11,2048,711,1337,-169234.01585498
11,2048,712,1336,-169105.10680466
11,2048,713,1335,-168976.20085863
11,2048,714,1334,-168847.29801487
11,2048,715,1333,-168718.39827135
11,2048,716,1332,-168589.50162606
