shape,columns,is_bad,deficient_samples,full_child_blocks_level_0,full_child_blocks_level_1,full_child_blocks_level_2,sibling_groups_level_1,sibling_groups_level_2,sibling_groups_level_3,dead_sibling_groups_level_1,dead_sibling_groups_level_2,dead_sibling_groups_level_3,one_live_sibling_groups_level_1,one_live_sibling_groups_level_2,one_live_sibling_groups_level_3,singleton_groups_level_1,singleton_groups_level_2,singleton_groups_level_3,zero_singleton_groups_level_1,zero_singleton_groups_level_2,zero_singleton_groups_level_3
114,0:1:4:5:6:7:8:36:50,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
115,0:1:4:5:6:7:9:23:37,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
116,0:1:4:5:6:7:9:23:51,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
117,0:1:4:5:6:7:9:37:51,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
118,0:1:4:5:6:7:10:24:38,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
119,0:1:4:5:6:7:10:24:52,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
120,0:1:4:5:6:7:10:38:52,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
121,0:1:4:5:6:7:11:25:39,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
122,0:1:4:5:6:7:11:25:53,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
123,0:1:4:5:6:7:11:39:53,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
124,0:1:4:5:6:7:12:26:40,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
125,0:1:4:5:6:7:12:26:54,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
126,0:1:4:5:6:7:12:40:54,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
127,0:1:4:5:6:7:13:27:41,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
128,0:1:4:5:6:7:13:27:55,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
129,0:1:4:5:6:7:13:41:55,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
130,0:1:4:5:6:7:14:28:42,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
131,0:1:4:5:6:7:14:28:56,,5,6,3,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,0
